"pcp","data"
0.1,2018-02-01 12:00:00
0,2018-02-02 12:00:00
0,2018-02-03 12:00:00
0,2018-02-04 12:00:00
0,2018-02-05 12:00:00
0.5,2018-02-06 12:00:00
0,2018-02-07 12:00:00
0.2,2018-02-08 12:00:00
0,2018-02-09 12:00:00
7.2,2018-02-10 12:00:00
1,2018-02-11 12:00:00
0,2018-02-12 12:00:00
1.2,2018-02-13 12:00:00
0.1,2018-02-14 12:00:00
0.8,2018-02-15 12:00:00
0.1,2018-02-16 12:00:00
0,2018-02-17 12:00:00
1.1,2018-02-18 12:00:00
0.3,2018-02-19 12:00:00
2.6,2018-02-20 12:00:00
0.4,2018-02-21 12:00:00
6.2,2018-02-22 12:00:00
0.1,2018-02-23 12:00:00
0,2018-02-24 12:00:00
0,2018-02-25 12:00:00
42.1,2018-02-26 12:00:00
0,2018-02-27 12:00:00
0,2018-02-28 12:00:00
